"title","category","duration","channel","description","url"
"RESET dla Głowy -  Medytacja na Dobry Czas","Medytacja, Siła","14","Małgorzata Mostowska","Kochani, przed Wami RESET,  czyli 3-częściowy zestaw praktyk, które przygotowałam z myślą o wszystkich nas (tak, o sobie też tutaj myślałam!), którzy nie mają wiele czasu na praktykę w ciągu dnia, a czują, że potrzebują rozruszać ciało, obudzić głowę i usprawnić wzrok oraz myślenie.   Jeśli spędzasz sporo czasu w pozycji siedzącej, patrząc na ekran telefonu czy laptopa to RESET będzie totalnie czymś DLA CIEBIE!  Reset Ciało – trwający 10 minut program, który pięknie obudzi i rozrusza zastane mięśnie i wprowadzi więcej żywotności i energii do naszego ciała.  Reset Głowa – ma uspokoić myśli i nastawić nas na uważność, na bycie w chwili obecnej, zauważenie tego co się w nas dzieje, aby móc skuteczniej i efektywniej być i działać po zakończonej medytacji.  Reset Oczy – wzmocnienie i zregenerowanie zmęczonych mięśni wokół oczu, poprawa widzenia oraz uczucie spokoju w głowie.  Każdą z tych praktyk możemy wykonać osobno lub dowolnie je ze sobą łączyć. W zależności czego akurat potrzebujemy, ile mamy czasu itp. całość trwa mniej niż pół godziny i jeśli tylko znajdziecie tyle czasu w ciągu dnia, bardzo Wam rekomenduję, aby połączyć ze sobą wszystkie trzy części. Jednak nawet jeśli skorzystasz tylko z jednej z tych części – i tak Twoje ciało i umysł będą Ci wdzięczne.   Partnerem wszystkich trzech praktyk jest wyjątkowa marka suplementów nikalab, której jestem ambasadorką, a na kod GOSIA dostaniecie 20% na pierwsze zamówienie! Link do sklepu:  https://nikalab.pl/  Nagranie powstało przy pomocy Ani: https://www.instagram.com/travelstoriespl/  Ściskam i widzimy się na kolejnych praktykach!  Pozostańmy w kontakcie:  INSTAGRAM - https://www.instagram.com/gosiamostowska/ FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl  Dołącz do nas na FB: https://www.facebook.com/groups/937273756408877/   Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥","https://www.youtube.com/watch?v=wZ_kOZDzxVA"
"Spokojna Joga na Dobranoc - NOWA","Poranek, Wieczór","26","Małgorzata Mostowska","Spokojna Joga na Dobranoc to praktyka, która sprawdzi się cudownie po ciężkim dniu, bo oczyści naszą głowę z krzątających się myśli i rozluźni ciało po trudnych emocjach, jakich doznało.   To prawie 30-minutowa praktyka, która sprawdzi się zarówno na wieczór jak i w ciągu dnia, gdy będziemy potrzebować odprężenia i zatrzymania. Polecam Wam bardzo spróbować takiego kojącego ruchu, pozostać w łagodności dla siebie i swojego ciała, a następnie, nie zaglądając już do telefonu, udać się do łóżeczka i sprawdzić jak taka wieczorna joga wpłynie na nasz sen :)   Ściskam Was czule i widzimy się na kolejnych praktykach!  Pozostańmy w kontakcie:  INSTAGRAM - https://www.instagram.com/gosiamostowska/ FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl  Dołącz do nas na FB: https://www.facebook.com/groups/937273756408877/   Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥","https://www.youtube.com/watch?v=O4iE0sS8lW0"
"RESET dla Oczu  - Joga na Zmęczone Oczy","Medytacja, Siła","8","Małgorzata Mostowska","Kochani, przed Wami RESET,  czyli 3-częściowy zestaw praktyk, które przygotowałam z myślą o wszystkich nas (tak, o sobie też tutaj myślałam!), którzy nie mają wiele czasu na praktykę w ciągu dnia, a czują, że potrzebują rozruszać ciało, obudzić głowę i usprawnić wzrok oraz myślenie.   Jeśli spędzasz sporo czasu w pozycji siedzącej, patrząc na ekran telefonu czy laptopa to RESET będzie totalnie czymś DLA CIEBIE!  Reset Ciało – trwający 10 minut program, który pięknie obudzi i rozrusza zastane mięśnie i wprowadzi więcej żywotności i energii do naszego ciała.  Reset Głowa – ma uspokoić myśli i nastawić nas na uważność, na bycie w chwili obecnej, zauważenie tego co się w nas dzieje, aby móc skuteczniej i efektywniej być i działać po zakończonej medytacji.  Reset Oczy – wzmocnienie i zregenerowanie zmęczonych mięśni wokół oczu, poprawa widzenia oraz uczucie spokoju w głowie.  Każdą z tych praktyk możemy wykonać osobno lub dowolnie je ze sobą łączyć. W zależności czego akurat potrzebujemy, ile mamy czasu itp. całość trwa mniej niż pół godziny i jeśli tylko znajdziecie tyle czasu w ciągu dnia, bardzo Wam rekomenduję, aby połączyć ze sobą wszystkie trzy części. Jednak nawet jeśli skorzystasz tylko z jednej z tych części – i tak Twoje ciało i umysł będą Ci wdzięczne.   Partnerem wszystkich trzech praktyk jest wyjątkowa marka suplementów nikalab, której jestem ambasadorką, a na kod GOSIA dostaniecie 20% na pierwsze zamówienie! Link do sklepu:  https://nikalab.pl/  Nagranie powstało przy pomocy Ani: https://www.instagram.com/travelstoriespl/  Ściskam i widzimy się na kolejnych praktykach!  Pozostańmy w kontakcie:  INSTAGRAM - https://www.instagram.com/gosiamostowska/ FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl  Dołącz do nas na FB: https://www.facebook.com/groups/937273756408877/   Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥","https://www.youtube.com/watch?v=oVIWInEEglE"
"Reset Ciało -   Joga na Stojąco","Medytacja, Siła","10","Małgorzata Mostowska","Kochani, przed Wami RESET,  czyli 3-częściowy zestaw praktyk, które przygotowałam z myślą o wszystkich nas (tak, o sobie też tutaj myślałam), którzy nie mają wiele czasu na praktykę w ciągu dnia, a czują, że potrzebują rozruszać ciało, obudzić głowę i usprawnić wzrok oraz myślenie.   Jeśli spędzasz sporo czasu w pozycji siedzącej, patrząc na ekran telefonu czy laptopa to RESET będzie totalnie czymś dla Ciebie.  Reset Ciało – trwający 10 minut program, który pięknie obudzi i rozrusza zastane mięśnie i wprowadzi więcej żywotności i energii do naszego ciała.  Reset Głowa – ma uspokoić myśli i nastawić nas na uważność, na bycie w chwili obecnej, zauważenie tego co się w nas dzieje, aby móc skuteczniej i efektywniej być i działać po zakończonej medytacji.  Reset Oczy – wzmocnienie i zregenerowanie zmęczonych mięśni wokół oczu, poprawa widzenia oraz uczucie spokoju w głowie.  Każdą z tych praktyk możemy wykonać osobno lub dowolnie je ze sobą łączyć. W zależności czego akurat potrzebujemy, ile mamy czasu itp. całość trwa mniej niż pół godziny i jeśli tylko znajdziecie tyle czasu w ciągu dnia, bardzo Wam rekomenduję, aby połączyć ze sobą wszystkie trzy części. Jednak nawet jeśli skorzystasz tylko z jednej z tych części – i tak Twoje ciało i umysł będą Ci wdzięczne.   Partnerem wszystkich trzech praktyk jest wyjątkowa marka suplementów nikalab, której jestem ambasadorką, a na kod GOSIA dostaniecie 20% na pierwsze zamówienie! Link do sklepu:  https://nikalab.pl/   Ściskam i widzimy się na kolejnych praktykach!  Pozostańmy w kontakcie:  INSTAGRAM - https://www.instagram.com/gosiamostowska/ FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl  Dołącz do nas na FB: https://www.facebook.com/groups/937273756408877/   Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥","https://www.youtube.com/watch?v=DBKejUMJgwY"
"Moja Letnia Naturalna Apteczka","Kręgosłup, Wieczór","31","Małgorzata Mostowska","Kochani,  Poniżej daję linki i kody do produktów, o których wspominam w filmiku. Dajcie znać co byście dodali do tej listy, albo co Wy zabieracie ze sobą do apteczki i czym się wspieracie letnią porą :)  A, jeszcze zanim, link do Kursu Zdrowego Kręgosłupa: https://mmyoga.pl/kurs/joga-na-zdrowy-kregoslup-kurs-video/ Korzystajcie :)  Ekosynbiotyk - czyli połączenie probiotyku z prebiotykiem, dla zdrowia naszych jelit, mózgu i budowania odporności przez cały rok. Na stronie:  https://www.ekosynbiotyk.pl/sklep/  po wpisaniu kodu: gosia  dostaniecie 25% zniżki na wszystko. Mega polecam. CUDowny produkt zmieniający życie.   + glinka ekosynbiotyczna (już jest dostępna!), na wszelkie zarapania, zmiany skórne, otarcia (również dla niemowlaków!), sypkie złoto! :)  3. Liposomalna witamina C  https://nikalab.pl/products/liposomalna-witamina-c?variant=48430722711877 Cieszę się, że w Polsce powstają tak wyjątkowe produkty od tak wyjątkowych ludzi!   W NikaLab: https://nikalab.pl/ dostaniecie 20% zniżki na pierwsze zamówienie z kodem GOSIA  Homeopatia (w filmiku nagadałam się co na co, więc nie będę tutaj się ponownie rozpisywać :)): ARNICA MONTANA  ARSENICUM ALBUM  CANTHARIS  BELLADONNA  ACONITUM NAPELLUS  DULCAMARA  NUX VOMICA APIS MELIFICA LEDUM PALUSTRE  Aromaterapia - do apteczki pakuję zwykle lawendę, drzewo herbaciane, geranium i miętę :)  Moje olejki są od Natalki z Tymaherbs:  https://www.tymaherbs.com/kategoria-produktu/aromaterapia/  Na wszystkie produkty z Tyma macie 15% zniżki z kodem: gosia  ___________  Pozostańmy w kontakcie:  INSTAGRAM - https://www.instagram.com/gosiamostow... FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl   Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥","https://www.youtube.com/watch?v=eCHgo-iJq8Q"
"Medytacja na Początek Dnia z Afirmacjami - 432hz","Poranek, Stres, Medytacja","18","Małgorzata Mostowska","Medytacja na początek dnia z afirmacjami to 20-minutowa praktyka, która rozluźni nasze ciało poprzez spowolniony, świadomy oddech oraz wypełni uważnością nasz umysł i serce miłością. Ta medytacja wspaniale sprawdzi się o poranku, zaraz po przebudzeniu, pozwoli nam łagodnie i w uważności wejść w nowy dzień. Możemy też z niej korzystać w ciągu dnia, aby zrobić sobie przerwę od pracy czy nauki.  Medytacja poranna z afirmacjami zawiera w sobie kilka elementów. Jest oddech: świadomy, pogłębiony, z pauzą jak i bez :) Jest uważność na ciało, na to co się z nim dzieje jak i na emocje. I są afirmacje. Afirmacje, które mają podbić naszą wiarę w siebie i dać nam poczucie, że cokolwiek teraz dzieje się w naszym życiu, jest po coś.  Ta medytacja będzie odpowiednia dla początkujących, jako że jest to medytacja prowadzona jak i tych, którzy nie pierwszy raz zagłębiają się w swój umysł. Pierwsze efekty medytacji są zauważalne tak naprawdę od razu - w postaci wyciszenia, większego spokoju i przyjemnych odczuć, inne - jak np. większa odporność na stres czy poczucie wewnętrznego spokoju bez względu na okoliczności, zauważamy zwykle po kilku tygodniach czy miesiącach regularnej praktyki. Zatem, warto medytować codziennie, albo chociaż kilka razy w tygodniu. Ta medytacja to wspaniale zainwestowane w siebie 20 minut.  Zapraszam Was do mojego świata.  Pozostańmy w kontakcie: INSTAGRAM - https://www.instagram.com/gosiamostowska/ FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl  Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥","https://www.youtube.com/watch?v=ThwP_-fmwko"
"Poranna Joga na Dobry Dzień - 30 minut Rozruchu dla Ciała i Głowy","Flow, Wieczór, Poranek, Stres, Medytacja","29","Małgorzata Mostowska","Poranna joga na dzień dobry to joga zarówno dla początkujących jak i zaawansowanych - inaczej mówiąc: ta joga będzie dobra dla każdego! To 30 minut porannego rozruchu - tyle o ile długo mnie prosiliście :)  To praktyka, która jest częścią kursu na dobry poranek i dobry wieczór, który miałam wypuścić do sprzedaży w zeszłym roku, ale... jakoś tak się stało, że się to nie udało i niedawno poczułam, że chcę Wam te praktyki dać tutaj - aby każdy mógł z nich skorzystać. Kolejna praktyka - 30 minutowa wieczorna joga na dobry sen, pojawi się już niebawem, a razem, obie praktyki jogi, będą pięknym początkiem (a może dodatkiem lub uzupełnieniem?) ku nowej przygodzie zwanej bardziej uważnym życiem :)   To będzie taka godzina dziennie dla Ciebie - 30 minut o poranku i 30 minut wieczorem - dasz sobie taką godzinę dziennie? Dla SIEBIE?  Joga na dobry dzień to praktyka, która delikatnie rozbudzi nasze ciało i umysł, jednak nie jest to tylko praktyka na rano, bowiem sprawdzi się o każdej porze, gdy potrzebujesz rozruszania ciała i wyciszenia umysłu.  Będzie oczywiście sporo ruchu, będzie limfa flow czyli pobudzenie krążenia limfy, będzie oddech i krótka medytacja uważności. Będzie wszystko czego potrzebujesz, aby dobrze poczuć się w swoim ciele!  Joga w domu to wspaniała możliwość praktyki w dowolnym miejscu i czasie! Joga na dobry poranek to jest to!  Widzimy się na macie! :)   Pozostańmy w kontakcie: INSTAGRAM - https://www.instagram.com/gosiamostowska/ FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl  Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥","https://www.youtube.com/watch?v=RZ98cB8IHOY"
"Jak Dbam o Siebie - Pogadanka o Zdrowiu","Medytacja, Wieczór","41","Małgorzata Mostowska","Kochani, jakiś czas temu dodałam na Instagramie rolkę, w której opowiedziałam w skrócie o kilku sposobach na zachowanie zdrowia. Jako że tam czasu było bardzo mało, a temat Was zainteresował, postanowiłam rozwinąć do tutaj - gdzie mam nieograniczony czas (i trochę z tego skorzystałam - wybaczcie, że tak długo, ale już tyle z Wami nie ""rozmawiałam""!).  Rolka, od której ""wszystko"" się zaczęło: https://www.instagram.com/p/C2w1vJ7tLLP/  Poniżej daję linki i kody do produktów, o których wspominam w filmiku. Dajcie znać co byście dodali do tej listy, albo co Was wspiera w budowaniu odporności i lepszym samopoczuciu!  1. Ruch - wiadomo, że joga z Gosią :) A taks serio, to oprócz porannej praktyki kocham leśne spacery i taniec intuicyjny.  2. Ekosynbiotyk - czyli połączenie probiotyku z prebiotykiem, dla zdrowia naszych jelit, mózgu i budowanie odporności przez cały rok. Na stronie:  https://www.ekosynbiotyk.pl/sklep/ po wpisaniu kodu: gosia dostaniecie 25% zniżki na wszystko. Mega polecam. CUDowny produkt zmieniający życie.   3. Mądra suplementacja - to kolejna współpraca ambasadorska, z której jestem ogromnie dumna! I cieszę się, że w Polsce powstają tak wyjątkowe produkty! W NikaLab https://nikalab.pl/ dostaniecie 15% zniżki na pierwsze zamówienie z kodem GOSIA  4. Ciepełko, czyli rozgrzewamy się! Jakie są Wasze ulubione przyprawy, które dają Wam ciepło? U mnie to zdecydowanie cynamon cejloński (przy okazji polecam ten od ekogram.pl - tu również macie kod: gosia10 - kocham ich produkty i robię zakupy w tym sklepie od prawie dekady!), kardamon i ciepłe herbatki ziołowe.  5. Relacje - które rozgrzeją nasze serduszka i są tak samo ważne dla zachowania zdrowia psychicznego (i fizycznego!) jak wszystkie poprzednie punkty.  6. Światło - wystawiamy się na dzienne, unikamy niebieskiego w miarę możliwości. Więcej opowiadam w filmie (przecież nie napiszę Wam tu wszystkiego, bo kto by oglądał wtedy moje wypociny?)  7. Zdrowy sen, odsyłam do artykułu: https://purestyle.pl/jak-sie-porzadnie-wyspac-i-zregenerowac-organizm-9-sposobow-na-zdrowszy-i-glebszy-sen/  8. Medytacja, jeśli nie wiesz jak zacząć, zacznij ze mną :) Link do ostatniej medytacji, którą pokochaliście: https://youtu.be/YHzfPxMjZGQ?si=8H_BVZ4Q0R3udXR-  9. Homeopatia - nie będę się tu rozpisywać, bo się wystarczająco nagadałam :) Sprawdźcie w filmiku!  10. Aromaterapia - kocham ostatnio (a w sumie to zawsze kochałam) lawendę, a ostatnio ostatnio geranium! Na lato mięta niezastąpiona, na zimę i katarki tymianek. A Wy jakie zapachy lubicie najbardziej?  Ja najczęściej zamawiam olejki od: https://klaudynahebda.pl/sklep/ https://www.tymaherbs.com/kategoria-produktu/aromaterapia/ i olejki Physalis (na różnych stronach).  Joga na drenaż limfatyczny: https://youtu.be/zmAPnEmC6t0?si=HoNgGIvx1ySDnsUy  Medytacja w 5 minut: https://youtu.be/Eo9CuroK1-k?si=61k48sbWqfcg28Va  Odcinek o odporności dzieci z Agą Cegielską: https://youtu.be/zIPdlSn5rUs?si=qCFQme-0XoIfzUkd ___________  Pozostańmy w kontakcie:  INSTAGRAM - https://www.instagram.com/gosiamostow... FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl   Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥","https://www.youtube.com/watch?v=2i0yW_lM1Vs"
"Medytacja Miłości i Poznania Siebie z Afirmacjami ❤️","Medytacja, Stres, Wieczór","20","Małgorzata Mostowska","Medytacja miłości i poznania siebie z afirmacjami to 20-minutowa praktyka, która rozluźni nasze ciało poprzez spowolniony, świadomy oddech, ukoi naszą głowę i wypełni miłością nasze serce. Ta medytacja miłości wspaniale sprawdzi się zarówno o poranku, w ciągu dnia jak i wieczorem przed snem.  Medytacja miłości i poznania siebie zawiera w sobie kilka elementów, z czego dwa są tutaj kluczowe.  Po pierwsze, pytania do siebie. Są takie pytania, które warto sobie zadać raz na jakiś czas (jak nie codziennie!) i tutaj właśnie korzystamy z kilku z nich. To są takie pytania do naszego serca, do naszej duszy, niekoniecznie głowy :) Po drugie, afirmacje. Afirmacje obfitości, miłości, pewności i ufności, które mają podbić naszą wiarę w siebie i dać nam poczucie, że cokolwiek teraz dzieje się w naszym życiu, jest po coś.  Ta medytacja będzie odpowiednia dla początkujących, jako że jest to medytacja prowadzona jak i tych, którzy nie pierwszy raz zagłebiają się w swój umysł. Pierwsze efekty medytacji są zauważalne tak naprawdę od razu - w postaci wyciszenia, większego spokoju i przyjemnych odczuć, inne - jak np. większa odporność na stres czy poczucie wewnętrznego spokoju bez względu na okoliczności, zauważamy zwykle po kilku tygodniach czy miesiącach regularnej praktyki. Zatem, warto medytować codziennie, albo chociaż kilka razy w tygodniu. Ta medytacja to wspaniale zainwestowane w siebie 20 minut.  Zapraszam Was do mojego świata.  Pozostańmy w kontakcie: INSTAGRAM - https://www.instagram.com/gosiamostowska/ FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl  Za pomoc w realizacji i nagraniu praktyki dziękuję Ani: https://www.instagram.com/travelstoriespl/  Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Muzyka: soundsofnidra.com  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥Medytacja wdzięczności na zakończenie dnia  to 15-minutowa praktyka, która ma za zadanie ukoić nasze nerwy, zrelaksować ciało oraz wyciszyć umysł. To medytacja wdzięczności, którą dobrze jest wykonać wieczorem - przed snem.  Medytacja wdzięczności to medytacja z której bardzo chętnie korzystacie. Postanowiłam stworzyć zatem medytację wdzięczności, która byłaby idealna na wieczór. Medytację, po którą będziecie mogli sięgnąć, gdy po całym dniu poczujecie, że chcecie doładować się dobrą energią i spokojnie zasnąć. Medytację, która będzie zawierała w sobie wyciszające ćwiczenie oddechowe, afirmacje wdzięczności oraz czas dla Ciebie, na posłuchanie siebie i tego co Twoje serce chce Ci powiedzieć.    Ta praktyka będzie również odpowiednia dla początkujących, jako że jest to medytacja prowadzona. Możecie ją wykonać o każdej porze dnia i nocy, jednak zdecydowanie najbardziej polecam wykonać ją wieczorem (przed snem). Ta praktyka to wspaniale zainwestowane w siebie 15 minut!  Zapraszam Was do mojego świata.  Pozostańmy w kontakcie: INSTAGRAM - https://www.instagram.com/gosiamostowska/ FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl  Za pomoc w realizacji i nagraniu praktyki dziękuję Ani: https://www.instagram.com/morebyann/  Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Muzyka: soundsofnidra.com  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥","https://www.youtube.com/watch?v=YHzfPxMjZGQ"
"Joga Rozciągająca na Każdą Porę Dnia (i Nocy!)","Poranek, Stres, Rozciąganie","21","Małgorzata Mostowska","Joga rozciągająca na każdą porę dnia i nocy to propozycja dla każdego, kto ma ochotę popraktykować w nieco spowolnionym tempie, ze spokojnym oddechem i świadomym ruchem.   To trochę ponad 20 minut spokojnego, jednak bardzo przyjemnego i efektywnego rozciągania, które możesz wykonać samodzielnie, np. o poranku jako spokojną rozciągającą praktykę na dobry dzień, w ciągu dnia jako przerwę od pracy a także przed snem na wyciszenie.  Możesz również potraktować tę praktykę jako rozciąganie po treningu czy też rozciąganie po bieganiu - świetnie się do tego nada :) Jeśli masz więcej czasu, polecam po tej praktyce przejść do wyciszenia i relaksacji:  https://www.youtube.com/watch?v=6aNaK_awvCE&t=672s  Ściskam i widzimy się na kolejnych praktykach!  Pozostańmy w kontakcie:  INSTAGRAM - https://www.instagram.com/gosiamostowska/ FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl  Dołącz do nas na FB: https://www.facebook.com/groups/937273756408877/   Wspieraj mnie:  https://patronite.pl/mmyoga  🖤  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥","https://www.youtube.com/watch?v=1B6Rc_Q4CHk"
"Joga dla Dzieci","Inne","12","Małgorzata Mostowska","Joga dla dzieci  to propozycja dla najmłodszych, ale i dla tych starszych :) To taki mój prezent dla Was wszystkich na ten magiczny okołoświąteczny czas, bo spokojne, kochane dzieci to spokojni i kochani rodzice.   Joga dla dzieci to taka propozycja, która pomoże dzieciom łagodnie wejść w świat jogi i dodatkowo - dzięki wspólnym ćwiczeniom, pomoże nawiązać głębszą i bardziej wartościową relację z opiekunem/rodzicem.  Daj proszę swojemu dziecku przestrzeń i nie narzucaj niczego. Jeśli nie będzie chętne do wszystkich ćwiczeń, po prostu odpuść i daj np. na początek poobserwować Ciebie jak praktykujesz i się dobrze bawisz!  Dzieci wiedzą co jest dla nich dobre.  Ściskam Was ciepło, życząc spokojnego czasu i… dobrej nocy.   Pozostańmy w kontakcie:   INSTAGRAM - https://www.instagram.com/gosiamostowska/  FACEBOOK - https://www.facebook.com/mmostowskayoga/  WWW - http://mmyoga.pl/  BLOG - http://purestyle.pl/  WSPÓŁPRACA: wspolpraca@mmyoga.pl  GRUPA NA FB: http://tiny.pl/gpw9h   Wspieraj mnie: https://patronite.pl/mmyoga  🖤   Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, pomaga innym! Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce!  Gosia ♥","https://www.youtube.com/watch?v=JtO7W1SnoXc"
"Joga Express - Taniec Smoka","Kręgosłup, Flow, Stres, Wieczór","10","Małgorzata Mostowska","Joga Express - Taniec Smoka to 10-minutowa praktyka, która stanowi połączenie jogi, Qi Gongu i Tai Chai. To krótka praktyka, która ma nas obudzić, pobudzić, rozruszać i wprowadzić do naszego ciała piękną energię.  Ta sekwencja może nam posłużyć o poranku, ale będzie również fantastyczna do wykorzystania w ciągu dnia, np. podczas pracy (w przerwie jeśli mamy taką możliwość), albo po pracy (aby rozładować napięcia i stres).  Będziemy  w tej praktyce skupiać się na płynnym ruchu, wręcz tańcu naszego ciała z oddechem i z tej płynności pobudzać naszą energię qi. Rozruszamy kręgosłup, pootwieramy biodra, popracujemy na nogach i pootwieramy klatkę piersiową, a wszystko to, aby poczuć się lepiej w ciele i umyśle.  Joga w domu to wspaniała możliwość praktyki w dowolnym miejscu i czasie!  Widzimy się na macie! :)  Za pomoc w nagraniu, dziękuję Ani: https://www.instagram.com/travelstoriespl/   Pozostańmy w kontakcie: INSTAGRAM - https://www.instagram.com/gosiamostowska/ FACEBOOK - https://www.facebook.com/mmostowskayoga/ WWW - http://mmyoga.pl/ BLOG - http://purestyle.pl/ WSPÓŁPRACA: wspolpraca@mmyoga.pl  Wspieraj mnie:  https://patronite.pl/mmyoga Kurs Zdrowego Kręgosłupa: https://mmyoga.pl/kurs/joga-na-zdrowy-kregoslup-kurs-video/ Kurs Joga Flow CUD: https://mmyoga.pl/kurs/kurs-video/ Kurs Medytacyjny Wdzięczność: https://mmyoga.pl/kurs/kurs-wdziecznosci/  🖤  Jeśli podobał Ci się ten film, daj mi proszę dużego lajka, wtedy wiem, że to co robię, ma sens i pomaga innym!  Jeśli chcesz pozostać na bieżąco, subskrybuj mój kanał i bądź automatycznie powiadamiany o nowych filmach! :)   Do zobaczenia już wkrótce! Gosia ♥","https://www.youtube.com/watch?v=s9gWJ0aJdYA"
